OBJECTID,FEATURETYPE,DESCRIPTON,CLASS,FACILITY_NAME,FACILITY_OPERATIONALSTATUS,FACILITY_ADDRESS,ABS_SUBURB,FACILITY_STATE,ABS_POSTCODE,FACILITY_ATTRIBUTE_SOURCE,FACILITY_ATTRIBUTE_DATE,FACILITY_SOURCE,FACILITY_DATE,FACILITY_SPATIAL_CONFIDENCE,FACILITY_REVISED,COMMENT,FACILITY_LAT,FACILITY_LONG,VALIDATED,GNAF_BUILDING_NAME,GNAF_ADDRESS_DETAIL_PID,GNAF_FORMATTED_ADDRESS,GNAF_CONFIDENCE,GNAF_POSTCODE,GNAF_SUBURB,DISTANCE_TO_GNAF,GNAF_LAT,GNAF_LONG
1482,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,SEA LAKE AMBULANCE STATION,OPERATIONAL,,SEA LAKE,VICTORIA,3533,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-35.50402399999996,142.8531130010001,,,GAVIC421288988,151 BEST STREET,1,3533,SEA LAKE,0,-35.50402454999994,142.85311290000004
1483,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SEA LAKE FIRE STATION CFA,OPERATIONAL,,SEA LAKE,VICTORIA,3533,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-35.508286003999956,142.85058000100003,,,GAVIC719108842,3 COX STREET,0,3533,SEA LAKE,29,-35.50823885999995,142.85026807000008
1484,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,SEAFORD AMBULANCE STATION,OPERATIONAL,,SEAFORD,VICTORIA,3198,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.11453199999994,145.14210800400008,,,GAVIC421885220,3 SIR LAURENCE DRIVE,2,3198,SEAFORD,0,-38.11453228999994,145.14210745000003
1485,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES FRANKSTON,OPERATIONAL,,SEAFORD,VICTORIA,3198,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.122436995999976,145.13193499600004,,,GAVIC425682456,6 MCMANNIS WAY,1,3198,SEAFORD,0,-38.12243658999995,145.13193529000011
1486,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SEASPRAY FIRE STATION CFA,OPERATIONAL,,SEASPRAY,VICTORIA,3851,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.37508357399997,147.18900118300007,,,GAVIC424671527,20 FUTCHER STREET,1,3851,SEASPRAY,7,-38.37501944999997,147.18901561000007
1487,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SEATON FIRE STATION CFA,OPERATIONAL,,SEATON,VICTORIA,3858,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.94034100099998,146.69855499900007,,,GAVIC414738970,7 SEYMOURS LANE,1,3858,SEATON,10,-37.940374919999954,146.6986563900001
1488,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,SEBASTOPOL AMBULANCE STATION,OPERATIONAL,,SEBASTOPOL,VICTORIA,3356,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.59954199699996,143.84442400300009,,,GAVIC421472982,26 BRIDGE STREET,1,3356,SEBASTOPOL,0,-37.59954270999998,143.84442373000002
1489,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SEBASTOPOL FIRE STATION CFA,OPERATIONAL,,SEBASTOPOL,VICTORIA,3356,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.59680421799993,143.84082261600008,,,GAVIC421347210,178 ALBERT STREET,0,3356,SEBASTOPOL,8,-37.59687587999997,143.84079068000005
1490,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SEDGWICK FIRE STATION CFA,OPERATIONAL,,SEDGWICK,VICTORIA,3551,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.87187937199997,144.3154490700001,,,GAVIC425232199,607 SEDGWICK ROAD,1,3551,SEDGWICK,4,-36.87191097999994,144.31547694000005
1491,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SELBY FIRE STATION CFA,OPERATIONAL,,SELBY,VICTORIA,3159,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.911562292999974,145.3680098650001,,,GAVIC420423211,104 BELGRAVE-GEMBROOK ROAD,1,3159,SELBY,5,-37.91152088999996,145.3680241200001
1492,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SERPENTINE FIRE STATION CFA,OPERATIONAL,,SERPENTINE,VICTORIA,3517,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.40968808799994,143.97315721000007,,,GAVIC422083743,7 CHAPEL STREET,0,3517,SERPENTINE,49,-36.409847739999975,143.9736707300001
1493,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,SERPENTINE POLICE STATION,OPERATIONAL,,SERPENTINE,VICTORIA,3517,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.40601130199997,143.97410800500006,,,GAVIC425170817,2 TRESISE STREET,0,3517,SERPENTINE,0,-36.40601129999993,143.97410801
1494,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,LEEOR FIRE STATION CFA,OPERATIONAL,,SERVICETON,VICTORIA,3420,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.37800451499993,140.98908350700003,,,GAVIC720652604,9 KENT STREET,0,3420,SERVICETON,2,-36.37801678999995,140.98909073000004
1495,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SEVILLE FIRE STATION CFA,OPERATIONAL,,SEVILLE,VICTORIA,3139,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.777577436999934,145.45787073400004,,,GAVIC413528463,5 LINK ROAD,2,3139,SEVILLE,5,-37.77755714999995,145.4578241800001
1496,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,SEYMOUR AMBULANCE STATION,OPERATIONAL,,SEYMOUR,VICTORIA,3660,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.01758300199998,145.13825000300005,,,GAVIC423672866,22 CALLEN STREET,1,3660,SEYMOUR,0,-37.01758370999994,145.13825049000002
1497,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,SEYMOUR POLICE STATION,OPERATIONAL,,SEYMOUR,VICTORIA,3660,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.01985793199998,145.12988911600007,,,GAVIC424506185,60 TALLAROOK STREET,1,3660,SEYMOUR,59,-37.02036627999996,145.13008358000002
1498,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SHEANS CREEK FIRE STATION CFA,OPERATIONAL,,SHEANS CREEK,VICTORIA,3666,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.77609641899994,145.63646007700004,,SHEANS CREEK FIRE BRIGADE,GAVIC423712829,193 SHEANS CREEK ROAD,1,3666,SHEANS CREEK,19,-36.77624462999995,145.6363511300001
1499,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SHEEP HILLS FIRE STATION CFA,OPERATIONAL,,SHEEP HILLS,VICTORIA,3392,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.345708000999934,142.53093199700004,,,GAVIC424917404,469 SHEEP HILLS-MINYIP ROAD,1,3392,SHEEP HILLS,16,-36.345846189999975,142.53096098000003
1500,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SHELFORD FIRE STATION CFA,OPERATIONAL,,SHELFORD,VICTORIA,3329,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.99142717899997,143.94618211500006,,,GAVIC425091094,2130 SHELFORD-MT MERCER ROAD,1,3329,SHELFORD,15,-37.99135666999996,143.94632840000008
1501,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,SHEPPARTON AMBULANCE STATION,OPERATIONAL,,SHEPPARTON,VICTORIA,3630,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.375737998999966,145.40020900100012,,,GAVIC420665267,102 WYNDHAM STREET,0,3630,SHEPPARTON,0,-36.37573809999998,145.40020875000005
1502,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SHEPPARTON FIRE STATION CFA,OPERATIONAL,,SHEPPARTON,VICTORIA,3630,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.38217803999993,145.40040992000002,,,GAVIC422169141,266-268 MAUDE STREET,1,3630,SHEPPARTON,8,-36.382181539999976,145.40032435000012
1503,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,SHEPPARTON POLICE STATION,OPERATIONAL,,SHEPPARTON,VICTORIA,3630,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.381530183999985,145.3979797180001,,,GAVIC420282081,155 WELSFORD STREET,1,3630,SHEPPARTON,14,-36.38141299999995,145.39803294000012
1504,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SHEPPARTON EAST FIRE STATION CFA,OPERATIONAL,,SHEPPARTON EAST,VICTORIA,3631,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.40089048699997,145.4785233780001,,,GAVIC422309822,755 MIDLAND HIGHWAY,0,3631,SHEPPARTON EAST,15,-36.40101983999995,145.4785595400001
1505,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SHOREHAM FIRE STATION CFA,OPERATIONAL,,SHOREHAM,VICTORIA,3916,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.427551996999966,145.04361799600008,,,GAVIC421056060,86 BYRNES ROAD,1,3916,SHOREHAM,40,-38.427894659999936,145.0434668800001
1506,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SILVAN FIRE STATION CFA,OPERATIONAL,,SILVAN,VICTORIA,3795,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.82329850499997,145.4139429060001,,SILVAN FIRE STATION CFA,GAVIC718999372,2 STONYFORD ROAD,1,3795,SILVAN,16,-37.82342956999997,145.41400806000001
1507,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SIMPSON FIRE STATION CFA,OPERATIONAL,,SIMPSON,VICTORIA,3266,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.49531416399998,143.20849227600002,,,GAVIC719106203,10 WILLIAMS ROAD,0,3266,SIMPSON,3,-38.49532556999998,143.20852106000007
1508,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,SKIPTON AMBULANCE STATION,OPERATIONAL,,SKIPTON,VICTORIA,3361,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.684944995999956,143.35955099500006,,,GAVIC424066336,54-56 MONTGOMERY STREET,0,3361,SKIPTON,0,-37.684945409999955,143.35955050000007
1509,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SKIPTON FIRE STATION CFA,OPERATIONAL,,SKIPTON,VICTORIA,3361,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.68496282299998,143.35952418700003,,,GAVIC424066336,54-56 MONTGOMERY STREET,0,3361,SKIPTON,3,-37.684945409999955,143.35955050000007
1510,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,SKIPTON POLICE STATION,OPERATIONAL,,SKIPTON,VICTORIA,3361,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.68395993799993,143.36118627400003,,,GAVIC421777708,22 BLAKE STREET,0,3361,SKIPTON,0,-37.683959939999966,143.36118627000008
1511,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SKYE FIRE STATION CFA,OPERATIONAL,,SKYE,VICTORIA,3977,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.11853699599993,145.20261899900004,,,GAVIC719117285,289 POTTS ROAD,1,3977,SKYE,20,-38.11855837999997,145.20284289000006
1512,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SLATY CREEK FIRE STATION CFA,OPERATIONAL,,SLATY CREEK,VICTORIA,3477,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.54114500299994,143.30149900100002,,SLATY CREEK PUBLIC HALL,GAVIC423702380,3232 CHARLTON-ST ARNAUD ROAD,0,3477,SLATY CREEK,33,-36.54136148999993,143.3012396800001
1513,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SMEATON FIRE STATION CFA,OPERATIONAL,,SMEATON,VICTORIA,3364,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.333590982999965,143.9501588180001,,,GAVIC419783677,46 CALDER STREET,0,3364,SMEATON,3,-37.333600099999956,143.95018490000007
1514,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SMYTHESDALE FIRE STATION CFA,OPERATIONAL,,SMYTHESDALE,VICTORIA,3351,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.64336857999996,143.68597675,,,GAVIC421740491,74 BROOKE STREET,1,3351,SMYTHESDALE,23,-37.64326074999997,143.68619304000003
1515,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,SMYTHESDALE POLICE STATION,OPERATIONAL,,SMYTHESDALE,VICTORIA,3351,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.64322847999995,143.6865238900001,,,GAVIC425028134,4 SEBASTOPOL-SMYTHESDALE ROAD,1,3351,SMYTHESDALE,0,-37.64322847999995,143.6865238900001
1516,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SNAKE VALLEY & DISTRICT FIRE STATION CFA,OPERATIONAL,,SNAKE VALLEY,VICTORIA,3351,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.614706998999964,143.58524100300008,,,GAVIC425021391,848 LINTON-CARNGHAM ROAD,1,3351,SNAKE VALLEY,10,-37.61469847999996,143.58512387000007
1517,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SOMERS FIRE STATION CFA,OPERATIONAL,,SOMERS,VICTORIA,3927,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.392721019999954,145.16392162700004,,,GAVIC419553360,2 FLORIDA AVENUE,1,3927,SOMERS,22,-38.39282899999995,145.16371700000002
1518,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SOMERVILLE FIRE STATION CFA,OPERATIONAL,,SOMERVILLE,VICTORIA,3912,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.22337665699996,145.16916667300006,,,GAVIC420523326,57 ERAMOSA ROAD,1,3912,SOMERVILLE,37,-38.22311100999997,145.16942848000008
1519,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,SOMERVILLE AMBULANCE STATION,OPERATIONAL,,SOMERVILLE,VICTORIA,3912,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.222405513999945,145.18251700500002,,,GAVIC425615246,UNIT 5 50 GUELPH STREET,1,3912,SOMERVILLE,19,-38.22223790999993,145.1824654300001
1520,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SORRENTO FIRE STATION CFA,OPERATIONAL,,SORRENTO,VICTORIA,3943,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.34013941599994,144.7399244390001,,,GAVIC420727603,52 KERFERD AVENUE,1,3943,SORRENTO,6,-38.34014169999995,144.73999421000008
1521,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,SORRENTO AMBULANCE STATION,OPERATIONAL,,SORRENTO,VICTORIA,3943,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.335557998999946,144.7364030020001,,,GAVIC420135533,68 HOTHAM ROAD,2,3943,SORRENTO,0,-38.33555855999998,144.73640446000002
1522,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,SORRENTO POLICE STATION,OPERATIONAL,,SORRENTO,VICTORIA,3943,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.33613000799994,144.74214450500006,,,GAVIC420821432,12 HOTHAM ROAD,2,3943,SORRENTO,0,-38.33612999999997,144.74214400000005
1523,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES WONTHAGGI,OPERATIONAL,,SOUTH DUDLEY,VICTORIA,3995,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.58719999899995,145.57837000300003,,,GAVIC421844115,319 WHITE ROAD,2,3995,SOUTH DUDLEY,0,-38.58720039999997,145.57837010000003
1524,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES GEELONG,OPERATIONAL,,SOUTH GEELONG,VICTORIA,3220,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.16710900399994,144.36940200200002,,,GAVIC419957111,4 WOOD STREET,1,3220,SOUTH GEELONG,0,-38.16710901999994,144.36940241000002
1525,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,PORT MELBOURNE AMBULANCE STATION,OPERATIONAL,,SOUTH MELBOURNE,VICTORIA,3205,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.82625400099994,144.9417039970001,,,GAVIC424532420,61-75 BRADY STREET,0,3205,SOUTH MELBOURNE,0,-37.82625396999998,144.94170414000007
1526,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,SOUTH MELBOURNE AMBULANCE STATION,OPERATIONAL,,SOUTH MELBOURNE,VICTORIA,3205,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.83126608799995,144.96329006000008,,,GAVIC414045182,187-191 COVENTRY STREET,1,3205,SOUTH MELBOURNE,0,-37.831265979999955,144.9632899600001
1527,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,SOUTH MELBOURNE POLICE STATION,OPERATIONAL,,SOUTH MELBOURNE,VICTORIA,3205,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.83484704099993,144.95956911500002,,,GAVIC412350030,211 BANK STREET,1,3205,SOUTH MELBOURNE,0,-37.83484703999994,144.95956911000007
1528,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SOUTH MORANG FIRE STATION CFA,OPERATIONAL,,SOUTH MORANG,VICTORIA,3752,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.64782578499995,145.09110169200005,,,GAVIC423153312,875 PLENTY ROAD,1,3752,SOUTH MORANG,8,-37.64783348999998,145.09101771000007
1529,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,CARPENDEIT-STH PURRUMBETE FIRE STATION CFA,OPERATIONAL,,SOUTH PURRUMBETE,VICTORIA,3260,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.366292803999954,143.20541059100003,,,GAVIC412342364,260 NEHILL AND ALEXANDERS ROAD,1,3260,SOUTH PURRUMBETE,31,-38.36650012999996,143.20565584000008
1530,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES VHO,OPERATIONAL,,SOUTHBANK,VICTORIA,3006,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.82575000399993,144.96640299500007,,,GAVIC420271469,168 STURT STREET,0,3006,SOUTHBANK,0,-37.82575008999993,144.9664025400001
1531,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",METRO FIRE FACILITY,SOUTH MELBOURNE MFB,OPERATIONAL,,SOUTHBANK,VICTORIA,3006,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.82701755299996,144.9602020630001,,MFB STATION NO.38,GAVIC419831406,26-40 MORAY STREET,1,3006,SOUTHBANK,0,-37.82701754999994,144.96020205000002
1532,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,SOUTHBANK POLICE STATION,OPERATIONAL,,SOUTHBANK,VICTORIA,3006,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.828318999999965,144.96093880800004,,,GAVIC419593706,66 MORAY STREET,0,3006,SOUTHBANK,0,-37.828318999999965,144.96093881000002
1533,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SPEED FIRE STATION CFA,OPERATIONAL,,SPEED,VICTORIA,3488,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-35.40112951699996,142.44033583500004,,,GAVIC422134673,8 CARTER STREET,1,3488,SPEED,6,-35.40107782999996,142.44036409000012
1534,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,SPEED POLICE STATION,OPERATIONAL,,SPEED,VICTORIA,3488,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-35.40107782899997,142.44036408800002,,,GAVIC422134673,8 CARTER STREET,1,3488,SPEED,0,-35.40107782999996,142.44036409000012
1535,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SPRING HILL FIRE STATION CFA,OPERATIONAL,,SPRING HILL,VICTORIA,3444,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.302190320999955,144.32897187800006,,,GAVIC719615425,462 SPRINGHILL ROAD,0,3444,SPRING HILL,5,-37.302144949999956,144.32895370000006
1536,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SPRINGFIELD FIRE STATION CFA,OPERATIONAL,,SPRINGFIELD,VICTORIA,3434,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.34203299899997,144.8198910000001,,SPRINGFIELD FIRE STATION,GAVIC424047647,213 SPRINGFIELD ROAD,1,3434,SPRINGFIELD,13,-37.34197206999994,144.8197644500001
1537,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,SPRINGHURST FIRE STATION CFA,OPERATIONAL,,SPRINGHURST,VICTORIA,3682,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.18412799599997,146.46713499500004,,,GAVIC422123713,111 ANZAC ROAD,1,3682,SPRINGHURST,59,-36.184492939999984,146.46665453000003
