OBJECTID,FEATURETYPE,DESCRIPTON,CLASS,FACILITY_NAME,FACILITY_OPERATIONALSTATUS,FACILITY_ADDRESS,ABS_SUBURB,FACILITY_STATE,ABS_POSTCODE,FACILITY_ATTRIBUTE_SOURCE,FACILITY_ATTRIBUTE_DATE,FACILITY_SOURCE,FACILITY_DATE,FACILITY_SPATIAL_CONFIDENCE,FACILITY_REVISED,COMMENT,FACILITY_LAT,FACILITY_LONG,VALIDATED,GNAF_BUILDING_NAME,GNAF_ADDRESS_DETAIL_PID,GNAF_FORMATTED_ADDRESS,GNAF_CONFIDENCE,GNAF_POSTCODE,GNAF_SUBURB,DISTANCE_TO_GNAF,GNAF_LAT,GNAF_LONG
4959,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MOORBEL,OPERATIONAL,,MOORBEL,NEW SOUTH WALES,2804,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-33.56232399999993,148.68839900000012,,,,,,,,,,
4960,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,DENIMEIN,OPERATIONAL,,MORAGO,NEW SOUTH WALES,2710,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-35.391581996999946,144.76456876800012,,,,,,,,,,
4961,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,WIDGIEWA,OPERATIONAL,,MORUNDAH,NEW SOUTH WALES,2700,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-35.09605935199994,146.09399722800003,,,,,,,,,,
4962,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MORUNDAH - URANA,OPERATIONAL,,MORUNDAH,NEW SOUTH WALES,2700,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-34.932558265999944,146.30175603300006,,,,,,,,,,
4963,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AVOCA - WINGECARRIBEE,OPERATIONAL,,MOSS VALE,NEW SOUTH WALES,2577,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-34.593904032999944,150.44173249900007,,,,,,,,,,
4964,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MOSSGIEL,OPERATIONAL,,MOSSGIEL,NEW SOUTH WALES,2878,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-33.27843302599996,144.6065829800001,,,,,,,,,,
4965,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MT IRVINE,OPERATIONAL,,MOUNT IRVINE,NEW SOUTH WALES,2786,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-33.49046328399993,150.45708584300007,,,,,,,,,,
4966,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MT ROYAL,OPERATIONAL,,MOUNT ROYAL,NEW SOUTH WALES,2330,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-32.21635154699993,151.2644424550001,,,,,,,,,,
4967,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MT VICTORIA,OPERATIONAL,,MOUNT VICTORIA,NEW SOUTH WALES,2786,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-33.590129185999956,150.25678013100003,,,,,,,,,,
4968,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,CALGA / MT WHITE,OPERATIONAL,,MOUNT WHITE,NEW SOUTH WALES,2250,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-33.45582535999995,151.19819401000007,,,,,,,,,,
